Return_ID,Order_ID,Return_Reason,Refund_Amount,Return_Status
RET0127,ORD2400174,Late Delivery,4481,Approved
RET0128,ORD2401000,Defective,7052,Pending
RET0129,ORD2500334,Wrong Item,8069,Rejected
RET0130,ORD2400817,Wrong Item,8449,Pending
RET0131,ORD2500849,Damaged Product,3477,Rejected
RET0132,ORD2500878,Defective,1097,Rejected
RET0133,ORD2500357,Late Delivery,3526,Pending
RET0134,ORD2400235,Defective,6743,Approved
RET0135,ORD2400792,Late Delivery,9695,Pending
RET0136,ORD2500008,Late Delivery,8027,Pending
RET0137,ORD2400542,Defective,7834,Approved
RET0138,ORD2400816,Damaged Product,8236,Approved
RET0139,ORD2500391,Wrong Item,3325,Pending
RET0140,ORD2400426,Damaged Product,11227,Approved
RET0141,ORD2400967,Damaged Product,7996,Approved
RET0142,ORD2500849,Defective,9741,Rejected
RET0143,ORD2400159,Late Delivery,3702,Rejected
RET0144,ORD2500157,Wrong Item,11303,Rejected
RET0145,ORD2400345,Late Delivery,3414,Rejected
RET0146,ORD2400221,Customer Changed Mind,6185,Pending
RET0147,ORD2500039,Wrong Item,6686,Approved
RET0148,ORD2500860,Defective,11230,Pending
RET0149,ORD2500947,Wrong Item,10537,Pending
RET0150,ORD2500459,Damaged Product,2018,Pending
RET0151,ORD2400256,Defective,2922,Approved
RET0152,ORD2500904,Defective,9591,Approved
RET0153,ORD2400179,Late Delivery,2774,Approved
RET0154,ORD2500903,Customer Changed Mind,10164,Approved
RET0155,ORD2400823,Damaged Product,4177,Rejected
RET0156,ORD2500651,Late Delivery,3104,Rejected
RET0157,ORD2500360,Late Delivery,5451,Pending
RET0158,ORD2400816,Customer Changed Mind,9985,Approved
RET0159,ORD2400830,Damaged Product,10907,Rejected
RET0160,ORD2500488,Customer Changed Mind,1861,Approved
RET0161,ORD2500959,Defective,4491,Pending
RET0162,ORD2400485,Customer Changed Mind,5153,Approved
RET0163,ORD2400932,Defective,9703,Pending
RET0164,ORD2500949,Defective,7929,Approved
RET0165,ORD2400359,Customer Changed Mind,2904,Rejected
RET0166,ORD2500171,Defective,9708,Approved
RET0167,ORD2400029,Wrong Item,1505,Rejected
RET0168,ORD2500945,Damaged Product,2232,Rejected
RET0169,ORD2400292,Customer Changed Mind,3966,Rejected
RET0170,ORD2400285,Late Delivery,1047,Rejected
RET0171,ORD2400451,Damaged Product,891,Pending
RET0172,ORD2500091,Late Delivery,7872,Rejected
RET0173,ORD2500130,Defective,6113,Approved
RET0174,ORD2500896,Customer Changed Mind,4801,Approved
RET0175,ORD2500313,Wrong Item,9790,Pending
RET0176,ORD2400953,Defective,2533,Pending
RET0177,ORD2500560,Customer Changed Mind,8954,Approved
RET0178,ORD2500193,Customer Changed Mind,2597,Rejected
RET0179,ORD2500585,Defective,2983,Rejected
RET0180,ORD2400639,Late Delivery,11515,Pending
RET0181,ORD2400216,Customer Changed Mind,6385,Pending
RET0182,ORD2400440,Late Delivery,2508,Rejected
RET0183,ORD2500284,Damaged Product,3911,Rejected
RET0184,ORD2500967,Defective,9467,Rejected
RET0185,ORD2400700,Defective,9499,Pending
RET0186,ORD2400309,Customer Changed Mind,2340,Approved
RET0187,ORD2500261,Defective,9643,Rejected
RET0188,ORD2500288,Wrong Item,3908,Rejected
RET0189,ORD2500448,Damaged Product,4581,Rejected
RET0190,ORD2500173,Customer Changed Mind,4440,Rejected
RET0191,ORD2400826,Defective,7635,Pending
RET0192,ORD2400167,Wrong Item,738,Approved
RET0193,ORD2400179,Defective,1551,Rejected
RET0194,ORD2500243,Late Delivery,6613,Rejected
RET0195,ORD2400548,Defective,1971,Approved
RET0196,ORD2500444,Damaged Product,9461,Rejected
RET0197,ORD2400918,Late Delivery,1891,Approved
RET0198,ORD2400106,Defective,8392,Approved
RET0199,ORD2400437,Defective,1710,Rejected
RET0200,ORD2500052,Wrong Item,3753,Pending
